"review_id";"title";"review_text";"rating";"review_date";"cleaned_text"
"19";"Breathtaking views";"We just returned from Bvlgari. The main pool was absolutely breathtaking! Best trip ever.";"4";"June 2026";"we just returned from bvlgari the main pool was absolutely breathtaking best trip ever"
"20";"Exceptional service";"We just returned from Bvlgari. The spa treatment was a dream come true. Can't wait to come back.";"5";"March 2025";"we just returned from bvlgari the spa treatment was a dream come true can t wait to come back"
"21";"Best resort in Bali";"What a beautiful property! Balinese hospitality was top notch. Truly an authentic experience.";"4";"March 2026";"what a beautiful property balinese hospitality was top notch truly an authentic experience"
"22";"Average stay";"We just returned from Bvlgari. The cliffside elevator was good, but the wifi connection was slightly confusing.";"3";"June 2025";"we just returned from bvlgari the cliffside elevator was good but the wifi connection was slightly confusing"
"23";"Amazing stay";"Absolutely stunning resort. The resort architecture was simply magical. Truly an authentic experience.";"5";"April 2026";"absolutely stunning resort the resort architecture was simply magical truly an authentic experience"
"24";"Incredible experience";"My partner and I visited Bali. The resort architecture was outstanding. A must-visit in Bali.";"4";"April 2024";"my partner and i visited bali the resort architecture was outstanding a must visit in bali"
"25";"A 5-star dream";"What a beautiful property! The main pool was perfect. Truly an authentic experience.";"5";"October 2025";"what a beautiful property the main pool was perfect truly an authentic experience"
"26";"Disappointing";"A mixed experience. the staff coordination needed improvement. Not worth the price.";"2";"November 2026";"a mixed experience the staff coordination needed improvement not worth the price"
"27";"Good but pricey";"We just returned from Bvlgari. The Italian restaurant was good, but the dining prices was sub-par.";"3";"May 2024";"we just returned from bvlgari the italian restaurant was good but the dining prices was sub par"
"28";"Exceptional service";"What a beautiful property! Balinese hospitality was a dream come true. Will definitely return.";"4";"May 2026";"what a beautiful property balinese hospitality was a dream come true will definitely return"
"29";"Mixed experience";"Absolutely stunning resort. Breakfast spread was good, but the beach access was sub-par.";"3";"December 2026";"absolutely stunning resort breakfast spread was good but the beach access was sub par"
"30";"Heaven on earth";"Absolutely stunning resort. The ocean view was impeccable. A must-visit in Bali.";"5";"April 2026";"absolutely stunning resort the ocean view was impeccable a must visit in bali"
"31";"Beautiful but overrated";"Absolutely stunning resort. The main pool was good, but the room maintenance was sub-par.";"3";"October 2026";"absolutely stunning resort the main pool was good but the room maintenance was sub par"
"32";"A 5-star dream";"Our family stayed here. Butler service was perfect. Can't wait to come back.";"4";"December 2024";"our family stayed here butler service was perfect can t wait to come back"
"33";"Slow service";"Not quite what we hoped. the check-in process was slightly confusing. They need to fix this.";"2";"May 2025";"not quite what we hoped the check in process was slightly confusing they need to fix this"
"34";"A 5-star dream";"Absolutely stunning resort. Balinese hospitality was absolutely breathtaking! Best trip ever.";"4";"October 2026";"absolutely stunning resort balinese hospitality was absolutely breathtaking best trip ever"
"35";"Needs improvement";"The resort looks nice but the food quality was quite expensive. Very disappointed.";"1";"February 2024";"the resort looks nice but the food quality was quite expensive very disappointed"
"36";"Perfect getaway";"We just returned from Bvlgari. The spa treatment was outstanding. A must-visit in Bali.";"5";"November 2024";"we just returned from bvlgari the spa treatment was outstanding a must visit in bali"
"37";"Slow service";"Not quite what we hoped. the dining prices was disappointing. They need to fix this.";"2";"December 2026";"not quite what we hoped the dining prices was disappointing they need to fix this"
"38";"Amazing stay";"What a beautiful property! The cliffside elevator was outstanding. Best trip ever.";"4";"November 2025";"what a beautiful property the cliffside elevator was outstanding best trip ever"
"39";"Bad service";"Not quite what we hoped. the staff coordination was a bit slow. Not worth the price.";"2";"October 2026";"not quite what we hoped the staff coordination was a bit slow not worth the price"
"40";"Too expensive";"Beautiful location, however the staff coordination was quite expensive. Would not recommend.";"2";"May 2025";"beautiful location however the staff coordination was quite expensive would not recommend"
"41";"Beautiful paradise";"What a beautiful property! The cliffside elevator was stunning. Worth every penny.";"4";"December 2026";"what a beautiful property the cliffside elevator was stunning worth every penny"
"42";"Breathtaking views";"We just returned from Bvlgari. The spa treatment was perfect. Worth every penny.";"5";"August 2026";"we just returned from bvlgari the spa treatment was perfect worth every penny"
"43";"Heaven on earth";"What a beautiful property! The spa treatment was simply magical. A must-visit in Bali.";"4";"August 2026";"what a beautiful property the spa treatment was simply magical a must visit in bali"
"44";"Unmatched luxury";"Our family stayed here. Balinese hospitality was perfect. Will definitely return.";"4";"April 2024";"our family stayed here balinese hospitality was perfect will definitely return"
"45";"A 5-star dream";"My partner and I visited Bali. The ocean view was impeccable. Will definitely return.";"4";"August 2024";"my partner and i visited bali the ocean view was impeccable will definitely return"
"46";"Perfect getaway";"Our family stayed here. The cliffside elevator was perfect. Can't wait to come back.";"5";"July 2026";"our family stayed here the cliffside elevator was perfect can t wait to come back"
"47";"Amazing stay";"Absolutely stunning resort. Breakfast spread was top notch. Worth every penny.";"5";"October 2024";"absolutely stunning resort breakfast spread was top notch worth every penny"
"48";"A 5-star dream";"Our family stayed here. Balinese hospitality was a dream come true. Will definitely return.";"5";"April 2026";"our family stayed here balinese hospitality was a dream come true will definitely return"
"49";"Heaven on earth";"Our family stayed here. Our private villa was a dream come true. Worth every penny.";"5";"July 2025";"our family stayed here our private villa was a dream come true worth every penny"
"50";"Unmatched luxury";"Absolutely stunning resort. Balinese hospitality was perfect. Can't wait to come back.";"5";"August 2024";"absolutely stunning resort balinese hospitality was perfect can t wait to come back"
"51";"Beautiful but overrated";"Absolutely stunning resort. Our private villa was good, but the wifi connection was disappointing.";"3";"October 2025";"absolutely stunning resort our private villa was good but the wifi connection was disappointing"
"52";"Good but pricey";"What a beautiful property! The ocean view was good, but the check-in process took too long.";"3";"January 2025";"what a beautiful property the ocean view was good but the check in process took too long"
"53";"Perfect getaway";"My partner and I visited Bali. The resort architecture was incredible 😍! Can't wait to come back.";"5";"April 2025";"my partner and i visited bali the resort architecture was incredible can t wait to come back"
"54";"Exceptional service";"Absolutely stunning resort. The resort architecture was incredible 😍! Can't wait to come back.";"5";"January 2025";"absolutely stunning resort the resort architecture was incredible can t wait to come back"
"55";"A 5-star dream";"Our family stayed here. Balinese hospitality was stunning. A must-visit in Bali.";"4";"June 2025";"our family stayed here balinese hospitality was stunning a must visit in bali"
"56";"Unmatched luxury";"Our family stayed here. Balinese hospitality was absolutely breathtaking! Will definitely return.";"4";"December 2025";"our family stayed here balinese hospitality was absolutely breathtaking will definitely return"
"57";"Unmatched luxury";"Absolutely stunning resort. The Italian restaurant was impeccable. Highly recommended!";"5";"April 2024";"absolutely stunning resort the italian restaurant was impeccable highly recommended"
"58";"Amazing stay";"Absolutely stunning resort. Our private villa was outstanding. Will definitely return.";"4";"December 2025";"absolutely stunning resort our private villa was outstanding will definitely return"
"59";"Bad service";"A mixed experience. the food quality was quite expensive. Ruined the vibe.";"2";"October 2024";"a mixed experience the food quality was quite expensive ruined the vibe"
"60";"Heaven on earth";"Our family stayed here. The cliffside elevator exceeded our expectations. Can't wait to come back.";"5";"October 2026";"our family stayed here the cliffside elevator exceeded our expectations can t wait to come back"
"61";"Could be better";"We had high expectations. the staff coordination was slightly confusing. Not worth the price.";"1";"May 2025";"we had high expectations the staff coordination was slightly confusing not worth the price"
"62";"A 5-star dream";"Absolutely stunning resort. The Italian restaurant was absolutely breathtaking! A must-visit in Bali.";"4";"June 2026";"absolutely stunning resort the italian restaurant was absolutely breathtaking a must visit in bali"
"63";"Not a 5-star experience";"Beautiful location, however the wifi connection was slightly confusing. Expected more from a luxury brand.";"1";"November 2026";"beautiful location however the wifi connection was slightly confusing expected more from a luxury brand"
"64";"Amazing stay";"Our family stayed here. The main pool was absolutely breathtaking! Best trip ever.";"5";"January 2025";"our family stayed here the main pool was absolutely breathtaking best trip ever"
"65";"Best resort in Bali";"Absolutely stunning resort. The spa treatment was impeccable. Will definitely return.";"5";"December 2025";"absolutely stunning resort the spa treatment was impeccable will definitely return"
"66";"Too expensive";"We had high expectations. the room maintenance was sub-par. Needs better management.";"2";"April 2026";"we had high expectations the room maintenance was sub par needs better management"
"67";"Perfect getaway";"We just returned from Bvlgari. The main pool was stunning. Worth every penny.";"4";"May 2025";"we just returned from bvlgari the main pool was stunning worth every penny"
"68";"Amazing stay";"What a beautiful property! The cliffside elevator exceeded our expectations. Will definitely return.";"5";"November 2025";"what a beautiful property the cliffside elevator exceeded our expectations will definitely return"
"69";"Incredible experience";"Absolutely stunning resort. Butler service was perfect. Will definitely return.";"4";"August 2025";"absolutely stunning resort butler service was perfect will definitely return"
"70";"Beautiful paradise";"Our family stayed here. The main pool was outstanding. Worth every penny.";"4";"March 2024";"our family stayed here the main pool was outstanding worth every penny"
"71";"Not a 5-star experience";"The resort looks nice but the food quality needed improvement. Needs better management.";"2";"July 2026";"the resort looks nice but the food quality needed improvement needs better management"
"72";"Disappointing";"We had high expectations. the dining prices was a bit slow. We won't be returning.";"1";"January 2026";"we had high expectations the dining prices was a bit slow we won t be returning"
"73";"Breathtaking views";"We just returned from Bvlgari. The main pool exceeded our expectations. Can't wait to come back.";"5";"April 2025";"we just returned from bvlgari the main pool exceeded our expectations can t wait to come back"
"74";"Amazing stay";"My partner and I visited Bali. The cliffside elevator was stunning. Truly an authentic experience.";"5";"June 2025";"my partner and i visited bali the cliffside elevator was stunning truly an authentic experience"
"75";"Perfect getaway";"My partner and I visited Bali. The resort architecture was impeccable. Best trip ever.";"4";"December 2026";"my partner and i visited bali the resort architecture was impeccable best trip ever"
"76";"A let down";"A mixed experience. the dining prices was sub-par. Not worth the price.";"2";"September 2026";"a mixed experience the dining prices was sub par not worth the price"
"77";"A let down";"We had high expectations. the beach access was completely overrated. Expected more from a luxury brand.";"2";"April 2025";"we had high expectations the beach access was completely overrated expected more from a luxury brand"
"78";"Incredible experience";"Absolutely stunning resort. Butler service was incredible 😍! Highly recommended!";"5";"July 2025";"absolutely stunning resort butler service was incredible highly recommended"
"79";"Breathtaking views";"Absolutely stunning resort. Butler service was impeccable. Best trip ever.";"5";"November 2026";"absolutely stunning resort butler service was impeccable best trip ever"
"80";"Nice but slow service";"Our family stayed here. Butler service was good, but the food quality was completely overrated.";"3";"February 2025";"our family stayed here butler service was good but the food quality was completely overrated"
"81";"Amazing stay";"What a beautiful property! Breakfast spread was top notch. Worth every penny.";"5";"December 2026";"what a beautiful property breakfast spread was top notch worth every penny"
"82";"Best resort in Bali";"What a beautiful property! The Italian restaurant was simply magical. Will definitely return.";"5";"October 2026";"what a beautiful property the italian restaurant was simply magical will definitely return"
"83";"Slow service";"We had high expectations. the wifi connection was disappointing. We won't be returning.";"2";"November 2024";"we had high expectations the wifi connection was disappointing we won t be returning"
"84";"Incredible experience";"We just returned from Bvlgari. The spa treatment was absolutely breathtaking! Best trip ever.";"4";"September 2025";"we just returned from bvlgari the spa treatment was absolutely breathtaking best trip ever"
"85";"Incredible experience";"We just returned from Bvlgari. Butler service was simply magical. Worth every penny.";"5";"January 2026";"we just returned from bvlgari butler service was simply magical worth every penny"
"86";"Unmatched luxury";"Our family stayed here. The ocean view was outstanding. Will definitely return.";"5";"January 2026";"our family stayed here the ocean view was outstanding will definitely return"
"87";"A 5-star dream";"What a beautiful property! The ocean view exceeded our expectations. A must-visit in Bali.";"4";"June 2025";"what a beautiful property the ocean view exceeded our expectations a must visit in bali"
"88";"Best resort in Bali";"My partner and I visited Bali. Balinese hospitality was outstanding. Best trip ever.";"4";"May 2025";"my partner and i visited bali balinese hospitality was outstanding best trip ever"
"89";"Overrated";"The resort looks nice but the buggy service was slightly confusing. Expected more from a luxury brand.";"1";"November 2026";"the resort looks nice but the buggy service was slightly confusing expected more from a luxury brand"
"90";"Breathtaking views";"My partner and I visited Bali. The cliffside elevator was simply magical. A must-visit in Bali.";"5";"October 2026";"my partner and i visited bali the cliffside elevator was simply magical a must visit in bali"
"91";"Beautiful paradise";"My partner and I visited Bali. Butler service was a dream come true. Highly recommended!";"5";"May 2024";"my partner and i visited bali butler service was a dream come true highly recommended"
"92";"Amazing stay";"Absolutely stunning resort. The ocean view was incredible 😍! Will definitely return.";"4";"January 2024";"absolutely stunning resort the ocean view was incredible will definitely return"
"93";"Beautiful paradise";"We just returned from Bvlgari. Butler service was a dream come true. Can't wait to come back.";"4";"September 2024";"we just returned from bvlgari butler service was a dream come true can t wait to come back"
"94";"Breathtaking views";"Absolutely stunning resort. Our private villa exceeded our expectations. A must-visit in Bali.";"5";"January 2025";"absolutely stunning resort our private villa exceeded our expectations a must visit in bali"
"95";"Heaven on earth";"What a beautiful property! Our private villa exceeded our expectations. Truly an authentic experience.";"5";"September 2024";"what a beautiful property our private villa exceeded our expectations truly an authentic experience"
"96";"Slow service";"A mixed experience. the buggy service was sub-par. They need to fix this.";"1";"November 2025";"a mixed experience the buggy service was sub par they need to fix this"
"97";"Too expensive";"Beautiful location, however the wifi connection was quite expensive. Needs better management.";"1";"April 2026";"beautiful location however the wifi connection was quite expensive needs better management"
"98";"Beautiful paradise";"Our family stayed here. The spa treatment exceeded our expectations. Best trip ever.";"5";"July 2025";"our family stayed here the spa treatment exceeded our expectations best trip ever"
"99";"Amazing stay";"We just returned from Bvlgari. The main pool was outstanding. Highly recommended!";"5";"February 2024";"we just returned from bvlgari the main pool was outstanding highly recommended"
"100";"Unmatched luxury";"What a beautiful property! Balinese hospitality was stunning. Best trip ever.";"5";"October 2025";"what a beautiful property balinese hospitality was stunning best trip ever"
"101";"Average stay";"Our family stayed here. The Italian restaurant was good, but the dining prices was sub-par.";"3";"November 2024";"our family stayed here the italian restaurant was good but the dining prices was sub par"
"102";"Nice but slow service";"What a beautiful property! Our private villa was good, but the beach access was disappointing.";"3";"May 2024";"what a beautiful property our private villa was good but the beach access was disappointing"
"103";"Heaven on earth";"Our family stayed here. The resort architecture exceeded our expectations. Highly recommended!";"4";"November 2025";"our family stayed here the resort architecture exceeded our expectations highly recommended"
"104";"A let down";"Not quite what we hoped. the room maintenance was disappointing. Would not recommend.";"2";"December 2026";"not quite what we hoped the room maintenance was disappointing would not recommend"
"105";"Exceptional service";"What a beautiful property! The main pool was stunning. Will definitely return.";"4";"February 2025";"what a beautiful property the main pool was stunning will definitely return"
"106";"Nice but slow service";"Our family stayed here. Balinese hospitality was good, but the check-in process was quite expensive.";"3";"January 2025";"our family stayed here balinese hospitality was good but the check in process was quite expensive"
"107";"Amazing stay";"My partner and I visited Bali. The resort architecture was perfect. Truly an authentic experience.";"4";"February 2026";"my partner and i visited bali the resort architecture was perfect truly an authentic experience"
"108";"Not a 5-star experience";"A mixed experience. the dining prices needed improvement. Needs better management.";"2";"May 2025";"a mixed experience the dining prices needed improvement needs better management"
"109";"A 5-star dream";"We just returned from Bvlgari. The ocean view was outstanding. We felt like royalty.";"4";"January 2026";"we just returned from bvlgari the ocean view was outstanding we felt like royalty"
"110";"Disappointing";"Beautiful location, however the room maintenance needed improvement. They need to fix this.";"1";"October 2025";"beautiful location however the room maintenance needed improvement they need to fix this"
"111";"A let down";"Beautiful location, however the room maintenance was quite expensive. Ruined the vibe.";"2";"April 2025";"beautiful location however the room maintenance was quite expensive ruined the vibe"
"112";"Overrated";"We had high expectations. the food quality was quite expensive. Not worth the price.";"2";"April 2026";"we had high expectations the food quality was quite expensive not worth the price"
"113";"Beautiful but overrated";"My partner and I visited Bali. Butler service was good, but the buggy service was disappointing.";"3";"September 2026";"my partner and i visited bali butler service was good but the buggy service was disappointing"
"114";"Amazing stay";"My partner and I visited Bali. Breakfast spread was a dream come true. Truly an authentic experience.";"5";"June 2024";"my partner and i visited bali breakfast spread was a dream come true truly an authentic experience"
"115";"Breathtaking views";"Absolutely stunning resort. Butler service was a dream come true. Worth every penny.";"5";"November 2025";"absolutely stunning resort butler service was a dream come true worth every penny"
"116";"Perfect getaway";"My partner and I visited Bali. The spa treatment was simply magical. Will definitely return.";"5";"February 2025";"my partner and i visited bali the spa treatment was simply magical will definitely return"
"117";"Mixed experience";"Absolutely stunning resort. The resort architecture was good, but the check-in process took too long.";"3";"October 2025";"absolutely stunning resort the resort architecture was good but the check in process took too long"
"118";"Unmatched luxury";"My partner and I visited Bali. Butler service was stunning. Will definitely return.";"5";"January 2024";"my partner and i visited bali butler service was stunning will definitely return"
"119";"Too expensive";"Not quite what we hoped. the food quality was disappointing. Ruined the vibe.";"2";"January 2024";"not quite what we hoped the food quality was disappointing ruined the vibe"
"120";"Nice but slow service";"Absolutely stunning resort. The spa treatment was good, but the dining prices took too long.";"3";"October 2024";"absolutely stunning resort the spa treatment was good but the dining prices took too long"
"121";"Nice but slow service";"We just returned from Bvlgari. Butler service was good, but the room maintenance was sub-par.";"3";"February 2026";"we just returned from bvlgari butler service was good but the room maintenance was sub par"
"122";"Breathtaking views";"My partner and I visited Bali. The spa treatment was a dream come true. Truly an authentic experience.";"5";"December 2026";"my partner and i visited bali the spa treatment was a dream come true truly an authentic experience"
"123";"Needs improvement";"We had high expectations. the beach access was a bit slow. Expected more from a luxury brand.";"2";"August 2024";"we had high expectations the beach access was a bit slow expected more from a luxury brand"
"124";"Unmatched luxury";"Our family stayed here. The cliffside elevator was top notch. A must-visit in Bali.";"4";"May 2024";"our family stayed here the cliffside elevator was top notch a must visit in bali"
"125";"Beautiful paradise";"Absolutely stunning resort. The main pool was incredible 😍! Truly an authentic experience.";"5";"November 2025";"absolutely stunning resort the main pool was incredible truly an authentic experience"
"126";"Breathtaking views";"Our family stayed here. The cliffside elevator was a dream come true. We felt like royalty.";"5";"September 2024";"our family stayed here the cliffside elevator was a dream come true we felt like royalty"
"127";"A 5-star dream";"We just returned from Bvlgari. Balinese hospitality was perfect. Worth every penny.";"5";"October 2025";"we just returned from bvlgari balinese hospitality was perfect worth every penny"
"128";"Beautiful paradise";"My partner and I visited Bali. The resort architecture was stunning. A must-visit in Bali.";"4";"October 2026";"my partner and i visited bali the resort architecture was stunning a must visit in bali"
"129";"Heaven on earth";"We just returned from Bvlgari. The Italian restaurant was incredible 😍! A must-visit in Bali.";"5";"October 2025";"we just returned from bvlgari the italian restaurant was incredible a must visit in bali"
"130";"Amazing stay";"We just returned from Bvlgari. Breakfast spread was absolutely breathtaking! A must-visit in Bali.";"5";"October 2024";"we just returned from bvlgari breakfast spread was absolutely breathtaking a must visit in bali"
"131";"Beautiful paradise";"My partner and I visited Bali. The resort architecture was stunning. We felt like royalty.";"5";"January 2025";"my partner and i visited bali the resort architecture was stunning we felt like royalty"
"132";"Overpriced";"The resort looks nice but the dining prices was slightly confusing. We won't be returning.";"1";"October 2025";"the resort looks nice but the dining prices was slightly confusing we won t be returning"
"133";"Good but pricey";"Absolutely stunning resort. The Italian restaurant was good, but the beach access needed improvement.";"3";"January 2024";"absolutely stunning resort the italian restaurant was good but the beach access needed improvement"
"134";"Unmatched luxury";"Our family stayed here. The cliffside elevator was incredible 😍! Will definitely return.";"4";"March 2026";"our family stayed here the cliffside elevator was incredible will definitely return"
"135";"Beautiful paradise";"My partner and I visited Bali. Our private villa was a dream come true. Can't wait to come back.";"4";"July 2025";"my partner and i visited bali our private villa was a dream come true can t wait to come back"
"136";"Amazing stay";"Absolutely stunning resort. The main pool was simply magical. Can't wait to come back.";"5";"May 2024";"absolutely stunning resort the main pool was simply magical can t wait to come back"
"137";"Unmatched luxury";"Our family stayed here. The main pool was impeccable. Will definitely return.";"5";"May 2026";"our family stayed here the main pool was impeccable will definitely return"
"138";"Exceptional service";"Our family stayed here. The ocean view was simply magical. A must-visit in Bali.";"5";"September 2026";"our family stayed here the ocean view was simply magical a must visit in bali"
"139";"Heaven on earth";"We just returned from Bvlgari. Breakfast spread was stunning. We felt like royalty.";"4";"July 2025";"we just returned from bvlgari breakfast spread was stunning we felt like royalty"
"140";"Breathtaking views";"We just returned from Bvlgari. Breakfast spread was simply magical. Truly an authentic experience.";"4";"April 2025";"we just returned from bvlgari breakfast spread was simply magical truly an authentic experience"
"141";"Exceptional service";"My partner and I visited Bali. The Italian restaurant was impeccable. Can't wait to come back.";"5";"April 2026";"my partner and i visited bali the italian restaurant was impeccable can t wait to come back"
"142";"Mixed experience";"Absolutely stunning resort. Our private villa was good, but the staff coordination was quite expensive.";"3";"February 2024";"absolutely stunning resort our private villa was good but the staff coordination was quite expensive"
"143";"Mixed experience";"My partner and I visited Bali. The ocean view was good, but the buggy service was disappointing.";"3";"October 2025";"my partner and i visited bali the ocean view was good but the buggy service was disappointing"
"144";"Incredible experience";"What a beautiful property! Butler service was stunning. We felt like royalty.";"5";"October 2026";"what a beautiful property butler service was stunning we felt like royalty"
"145";"Needs improvement";"A mixed experience. the food quality was slightly confusing. Ruined the vibe.";"2";"April 2025";"a mixed experience the food quality was slightly confusing ruined the vibe"
"146";"A 5-star dream";"What a beautiful property! The ocean view was outstanding. Will definitely return.";"5";"November 2026";"what a beautiful property the ocean view was outstanding will definitely return"
"147";"Unmatched luxury";"Absolutely stunning resort. The resort architecture was a dream come true. Can't wait to come back.";"4";"April 2025";"absolutely stunning resort the resort architecture was a dream come true can t wait to come back"
"148";"Nice but slow service";"Our family stayed here. The Italian restaurant was good, but the food quality was sub-par.";"3";"October 2026";"our family stayed here the italian restaurant was good but the food quality was sub par"
"149";"A 5-star dream";"What a beautiful property! The cliffside elevator exceeded our expectations. We felt like royalty.";"5";"March 2025";"what a beautiful property the cliffside elevator exceeded our expectations we felt like royalty"
"150";"Heaven on earth";"What a beautiful property! The spa treatment was impeccable. Best trip ever.";"4";"August 2025";"what a beautiful property the spa treatment was impeccable best trip ever"
"151";"Amazing stay";"My partner and I visited Bali. The ocean view was a dream come true. Can't wait to come back.";"5";"November 2025";"my partner and i visited bali the ocean view was a dream come true can t wait to come back"
"152";"Perfect getaway";"We just returned from Bvlgari. The main pool was impeccable. A must-visit in Bali.";"5";"October 2026";"we just returned from bvlgari the main pool was impeccable a must visit in bali"
"153";"Nice but slow service";"My partner and I visited Bali. Butler service was good, but the room maintenance was a bit slow.";"3";"November 2026";"my partner and i visited bali butler service was good but the room maintenance was a bit slow"
"154";"A 5-star dream";"My partner and I visited Bali. The main pool was absolutely breathtaking! Best trip ever.";"4";"February 2026";"my partner and i visited bali the main pool was absolutely breathtaking best trip ever"
"155";"Heaven on earth";"Our family stayed here. The main pool was perfect. Highly recommended!";"5";"February 2026";"our family stayed here the main pool was perfect highly recommended"
"156";"Perfect getaway";"Our family stayed here. Balinese hospitality was impeccable. Highly recommended!";"4";"February 2025";"our family stayed here balinese hospitality was impeccable highly recommended"
"157";"Exceptional service";"My partner and I visited Bali. Balinese hospitality was outstanding. A must-visit in Bali.";"4";"December 2024";"my partner and i visited bali balinese hospitality was outstanding a must visit in bali"
"158";"A 5-star dream";"Our family stayed here. The resort architecture was incredible 😍! A must-visit in Bali.";"4";"November 2025";"our family stayed here the resort architecture was incredible a must visit in bali"
"159";"Mixed experience";"We just returned from Bvlgari. The cliffside elevator was good, but the buggy service was completely overrated.";"3";"January 2024";"we just returned from bvlgari the cliffside elevator was good but the buggy service was completely overrated"
"160";"Overpriced";"Not quite what we hoped. the staff coordination was disappointing. They need to fix this.";"1";"January 2024";"not quite what we hoped the staff coordination was disappointing they need to fix this"
"161";"Incredible experience";"What a beautiful property! The spa treatment was incredible 😍! A must-visit in Bali.";"5";"July 2024";"what a beautiful property the spa treatment was incredible a must visit in bali"
"162";"Mixed experience";"We just returned from Bvlgari. The Italian restaurant was good, but the dining prices was quite expensive.";"3";"November 2024";"we just returned from bvlgari the italian restaurant was good but the dining prices was quite expensive"
"163";"Mixed experience";"My partner and I visited Bali. Our private villa was good, but the check-in process was a bit slow.";"3";"December 2026";"my partner and i visited bali our private villa was good but the check in process was a bit slow"
"164";"Amazing stay";"We just returned from Bvlgari. Butler service exceeded our expectations. A must-visit in Bali.";"5";"March 2025";"we just returned from bvlgari butler service exceeded our expectations a must visit in bali"
"165";"Beautiful but overrated";"Our family stayed here. The resort architecture was good, but the wifi connection was quite expensive.";"3";"July 2026";"our family stayed here the resort architecture was good but the wifi connection was quite expensive"
"166";"Beautiful but overrated";"My partner and I visited Bali. The cliffside elevator was good, but the buggy service was slightly confusing.";"3";"May 2024";"my partner and i visited bali the cliffside elevator was good but the buggy service was slightly confusing"
"167";"Average stay";"Our family stayed here. The Italian restaurant was good, but the dining prices needed improvement.";"3";"March 2025";"our family stayed here the italian restaurant was good but the dining prices needed improvement"
"168";"Could be better";"We had high expectations. the food quality was quite expensive. Expected more from a luxury brand.";"1";"September 2026";"we had high expectations the food quality was quite expensive expected more from a luxury brand"
"169";"Good but pricey";"What a beautiful property! The resort architecture was good, but the room maintenance was disappointing.";"3";"June 2026";"what a beautiful property the resort architecture was good but the room maintenance was disappointing"
"170";"Perfect getaway";"My partner and I visited Bali. The spa treatment was perfect. Best trip ever.";"5";"July 2025";"my partner and i visited bali the spa treatment was perfect best trip ever"
